SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 2
NBLOCKS 46
NPATHS 137
NVALUES 557
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
8 1 1 -5.00000000000000111e-01
9 0 0 -1.66666666666666713e-01
9 0 1 4.47213595499957983e-01
9 0 2 -3.33333333333333259e-01
9 0 3 2.04124145231931425e-01
9 0 4 -4.18330013267037837e-01
9 0 5 6.66666666666666408e-01
9 1 0 4.47213595499958039e-01
9 1 1 2.00000000000000039e-01
9 1 4 7.48331477354788221e-01
9 1 5 4.47213595499958039e-01
9 2 0 -3.33333333333333204e-01
9 2 2 3.33333333333333426e-01
9 2 3 -8.16496580927726257e-01
9 2 5 3.33333333333333259e-01
9 3 0 2.04124145231931564e-01
9 3 2 -8.16496580927726145e-01
9 3 3 -4.99999999999999889e-01
9 3 5 -2.04124145231931564e-01
9 4 0 -4.18330013267037781e-01
9 4 1 7.48331477354788333e-01
9 4 4 2.99999999999999933e-01
9 4 5 -4.18330013267037781e-01
9 5 0 6.66666666666666408e-01
9 5 1 4.47213595499957928e-01
9 5 2 3.33333333333333259e-01
9 5 3 -2.04124145231931536e-01
9 5 4 -4.18330013267037615e-01
9 5 5 -1.66666666666666657e-01
10 0 0 3.99999999999999967e-01
10 0 1 -4.47213595499958039e-01
10 0 2 -7.34846922834953453e-01
10 0 3 3.16227766016837997e-01
10 1 0 -4.47213595499957983e-01
10 1 2 -5.47722557505166185e-01
10 1 3 -7.07106781186547684e-01
10 2 0 -7.34846922834953453e-01
10 2 1 -5.47722557505166296e-01
10 2 2 9.99999999999999917e-02
10 2 3 3.87298334620741813e-01
10 3 0 3.16227766016837886e-01
10 3 1 -7.07106781186547795e-01
10 3 2 3.87298334620741702e-01
10 3 3 -5.00000000000000111e-01
11 0 0 1.00000000000000000e+00
12 0 0 -5.00000000000000000e-01
12 0 1 8.66025403784438819e-01
12 1 0 8.66025403784438486e-01
12 1 1 4.99999999999999778e-01
13 0 0 -1.00000000000000000e+00
14 0 0 7.50000000000000000e-01
14 0 1 4.47213595499958150e-01
14 0 2 4.67707173346742777e-01
14 0 3 1.36930639376291574e-01
14 1 0 4.47213595499957983e-01
14 1 1 2.00000000000000039e-01
14 1 2 -8.36660026534075563e-01
14 1 3 -2.44948974278317883e-01
14 2 0 4.67707173346742777e-01
14 2 1 -8.36660026534075785e-01
14 2 2 1.25000000000000028e-01
14 2 3 -2.56173769148990038e-01
14 3 0 1.36930639376291602e-01
14 3 1 -2.44948974278317883e-01
14 3 2 -2.56173769148989927e-01
14 3 3 9.25000000000000155e-01
15 0 0 -1.00000000000000000e+00
16 0 0 -5.00000000000000222e-01
16 0 1 -3.16227766016837886e-01
16 0 2 -7.07106781186547795e-01
16 0 3 -3.87298334620741813e-01
16 1 0 -3.16227766016837997e-01
16 1 1 4.00000000000000022e-01
16 1 2 4.47213595499957983e-01
16 1 3 -7.34846922834953453e-01
16 2 0 -7.07106781186547795e-01
16 2 1 4.47213595499957983e-01
16 2 3 5.47722557505166185e-01
16 3 0 -3.87298334620741758e-01
16 3 1 -7.34846922834953231e-01
16 3 2 5.47722557505166074e-01
16 3 3 1.00000000000000006e-01
17 0 0 2.50000000000000056e-01
17 0 1 8.83883476483184549e-01
17 0 2 -2.49999999999999889e-01
17 0 3 -3.06186217847897346e-01
17 1 0 8.83883476483184882e-01
17 1 1 -3.75000000000000056e-01
17 1 2 -1.76776695296637032e-01
17 1 3 -2.16506350946109705e-01
17 2 0 -2.49999999999999889e-01
17 2 1 -1.76776695296636921e-01
17 2 2 2.50000000000000111e-01
17 2 3 -9.18558653543691928e-01
17 3 0 -3.06186217847897346e-01
17 3 1 -2.16506350946109705e-01
17 3 2 -9.18558653543692594e-01
17 3 3 -1.24999999999999972e-01
18 0 0 -8.33333333333333287e-02
18 0 1 -2.10818510677891952e-01
18 0 2 3.48608344389198188e-01
18 0 3 7.93856620135735436e-01
18 0 4 -4.43705983732471165e-01
18 1 0 -2.10818510677892035e-01
18 1 1 6.66666666666666935e-02
18 1 2 8.81917103688197312e-01
18 1 3 -1.82574185835055414e-01
18 1 4 3.74165738677394222e-01
18 2 0 3.48608344389198244e-01
18 2 1 8.81917103688196868e-01
18 2 2 4.16666666666666644e-02
18 2 3 3.01903682212279978e-01
18 2 4 8.83883476483184605e-02
18 3 0 7.93856620135735547e-01
18 3 1 -1.82574185835055358e-01
18 3 2 3.01903682212279978e-01
