SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 4
NBLOCKS 162
NPATHS 523
NVALUES 2431
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
49 4 1 4 1 0 0 0
49 5 1 4 1 1 0 0
49 6 2 2 0 0 0 0
49 7 2 5 0 0 0 0
49 8 3 3 0 0 0 0
50 0 0 6 0 0 0 0
50 1 2 5 0 0 0 0
51 0 0 3 0 0 0 0
51 1 1 4 0 0 0 0
51 2 1 4 1 0 0 0
51 3 2 2 0 0 0 0
51 4 2 2 0 1 0 0
51 5 3 3 0 0 0 0
52 0 0 6 0 0 0 0
52 1 1 4 0 0 0 0
52 2 1 4 1 0 0 0
52 3 2 5 0 0 0 0
52 4 2 5 0 1 0 0
52 5 3 3 0 0 0 0
53 0 2 2 0 0 0 0
54 0 1 4 0 0 0 0
54 1 1 4 1 0 0 0
54 2 2 2 0 0 0 0
54 3 2 5 0 0 0 0
54 4 3 3 0 0 0 0
54 5 3 3 0 1 0 0
55 0 2 5 0 0 0 0
56 0 2 2 0 0 0 0
56 1 3 3 0 0 0 0
57 0 2 5 0 0 0 0
57 1 3 3 0 0 0 0
58 0 3 3 0 0 0 0
59 0 1 4 0 0 0 0
59 1 2 2 0 0 0 0
60 0 1 4 0 0 0 0
60 1 2 5 0 0 0 0
61 0 2 2 0 0 0 0
62 0 1 4 0 0 0 0
62 1 1 4 0 1 0 0
62 2 2 2 0 0 0 0
62 3 2 5 0 0 0 0
62 4 3 3 0 0 0 0
62 5 3 3 1 0 0 0
63 0 2 5 0 0 0 0
64 0 1 4 0 0 0 0
64 1 2 2 0 0 0 0
64 2 2 2 0 1 0 0
64 3 3 3 0 0 0 0
64 4 3 3 1 0 0 0
64 5 4 1 0 0 0 0
65 0 1 4 0 0 0 0
65 1 2 5 0 0 0 0
65 2 2 5 0 1 0 0
65 3 3 3 0 0 0 0
65 4 3 3 1 0 0 0
65 5 4 4 0 0 0 0
66 0 2 2 0 0 0 0
66 1 4 1 0 0 0 0
67 0 1 4 0 0 0 0
67 1 2 2 0 0 0 0
67 2 2 5 0 0 0 0
67 3 3 3 0 0 0 0
67 4 3 3 0 1 0 0
67 5 3 3 1 0 0 0
67 6 3 3 1 1 0 0
67 7 4 1 0 0 0 0
67 8 4 4 0 0 0 0
67 9 5 2 0 0 0 0
68 0 2 5 0 0 0 0
68 1 4 4 0 0 0 0
69 0 2 2 0 0 0 0
69 1 3 3 0 0 0 0
69 2 3 3 1 0 0 0
69 3 4 1 0 0 0 0
69 4 4 1 0 1 0 0
69 5 5 2 0 0 0 0
70 0 2 5 0 0 0 0
70 1 3 3 0 0 0 0
70 2 3 3 1 0 0 0
70 3 4 4 0 0 0 0
70 4 4 4 0 1 0 0
70 5 5 2 0 0 0 0
71 0 3 3 0 0 0 0
71 1 3 3 1 0 0 0
71 2 4 1 0 0 0 0
71 3 4 4 0 0 0 0
71 4 5 2 0 0 0 0
71 5 5 2 0 1 0 0
72 0 4 4 0 0 0 0
73 0 4 1 0 0 0 0
73 1 5 2 0 0 0 0
74 0 4 4 0 0 0 0
74 1 5 2 0 0 0 0
75 0 5 2 0 0 0 0
76 0 2 2 0 0 0 0
77 0 2 2 0 0 0 0
77 1 3 0 0 0 0 0
78 0 2 2 0 0 0 0
78 1 3 3 0 0 0 0
79 0 2 2 0 0 0 0
79 1 2 2 0 1 0 0
79 2 3 0 0 0 0 0
79 3 3 3 0 0 0 0
79 4 4 1 0 0 0 0
79 5 4 1 1 0 0 0
80 0 3 3 0 0 0 0
81 0 2 2 0 0 0 0
81 1 3 0 0 0 0 0
81 2 4 1 0 0 0 0
81 3 4 1 1 0 0 0
82 0 2 2 0 0 0 0
82 1 3 3 0 0 0 0
82 2 3 3 0 1 0 0
82 3 4 1 0 0 0 0
82 4 4 1 1 0 0 0
82 5 5 2 0 0 0 0
83 0 2 2 0 0 0 0
83 1 3 0 0 0 0 0
83 2 3 3 0 0 0 0
83 3 4 1 0 0 0 0
83 4 4 1 0 1 0 0
83 5 4 1 1 0 0 0
83 6 4 1 1 1 0 0
83 7 5 2 0 0 0 0
83 8 6 0 0 0 0 0
84 0 3 3 0 0 0 0
84 1 5 2 0 0 0 0
85 0 3 3 0 0 0 0
85 1 4 1 0 0 0 0
85 2 4 1 1 0 0 0
85 3 5 2 0 0 0 0
85 4 5 2 0 1 0 0
85 5 6 0 0 0 0 0
86 0 4 1 0 0 0 0
86 1 4 1 1 0 0 0
86 2 5 2 0 0 0 0
86 3 6 0 0 0 0 0
87 0 5 2 0 0 0 0
88 0 5 2 0 0 0 0
88 1 6 0 0 0 0 0
89 0 1 4 0 0 0 0
90 0 0 6 0 0 0 0
90 1 1 4 0 0 0 0
90 2 1 7 0 0 0 0
90 3 2 5 0 0 0 0
91 0 1 7 0 0 0 0
92 0 0 6 0 0 0 0
92 1 1 4 0 0 0 0
92 2 1 4 0 1 0 0
92 3 2 5 0 0 0 0
93 0 0 6 0 0 0 0
93 1 1 7 0 0 0 0
93 2 1 7 0 1 0 0
93 3 2 5 0 0 0 0
94 0 1 4 0 0 0 0
95 0 0 6 0 0 0 0
95 1 1 4 0 0 0 0
95 2 1 7 0 0 0 0
95 3 2 5 0 0 0 0
95 4 2 5 0 1 0 0
96 0 1 7 0 0 0 0
97 0 1 4 0 0 0 0
97 1 2 5 0 0 0 0
98 0 1 7 0 0 0 0
98 1 2 5 0 0 0 0
99 0 2 5 0 0 0 0
100 0 1 4 0 0 0 0
101 0 0 6 0 0 0 0
101 1 1 4 0 0 0 0
101 2 1 7 0 0 0 0
101 3 2 5 0 0 0 0
101 4 2 5 1 0 0 0
102 0 1 7 0 0 0 0
103 0 0 6 0 0 0 0
103 1 1 4 0 0 0 0
103 2 1 4 0 1 0 0
103 3 2 5 0 0 0 0
103 4 2 5 1 0 0 0
103 5 3 3 0 0 0 0
104 0 0 6 0 0 0 0
104 1 1 7 0 0 0 0
104 2 1 7 0 1 0 0
104 3 2 5 0 0 0 0
104 4 2 5 1 0 0 0
104 5 3 6 0 0 0 0
105 0 1 4 0 0 0 0
105 1 3 3 0 0 0 0
106 0 0 6 0 0 0 0
106 1 1 4 0 0 0 0
106 2 1 7 0 0 0 0
106 3 2 5 0 0 0 0
106 4 2 5 0 1 0 0
106 5 2 5 1 0 0 0
106 6 2 5 1 1 0 0
106 7 3 3 0 0 0 0
106 8 3 6 0 0 0 0
106 9 4 4 0 0 0 0
107 0 1 7 0 0 0 0
107 1 3 6 0 0 0 0
108 0 1 4 0 0 0 0
108 1 2 5 0 0 0 0
108 2 2 5 1 0 0 0
108 3 3 3 0 0 0 0
108 4 3 3 0 1 0 0
108 5 4 4 0 0 0 0
109 0 1 7 0 0 0 0
109 1 2 5 0 0 0 0
109 2 2 5 1 0 0 0
109 3 3 6 0 0 0 0
109 4 3 6 0 1 0 0
109 5 4 4 0 0 0 0
110 0 3 3 0 0 0 0
111 0 2 5 0 0 0 0
111 1 2 5 1 0 0 0
111 2 3 3 0 0 0 0
111 3 3 6 0 0 0 0
111 4 4 4 0 0 0 0
111 5 4 4 0 1 0 0
112 0 3 6 0 0 0 0
113 0 3 3 0 0 0 0
113 1 4 4 0 0 0 0
114 0 3 6 0 0 0 0
114 1 4 4 0 0 0 0
115 0 4 4 0 0 0 0
116 0 2 5 0 0 0 0
117 0 2 5 0 0 0 0
117 1 3 3 0 0 0 0
118 0 2 5 0 0 0 0
118 1 3 6 0 0 0 0
119 0 3 3 0 0 0 0
120 0 2 5 0 0 0 0
120 1 2 5 0 1 0 0
120 2 3 3 0 0 0 0
120 3 3 6 0 0 0 0
120 4 4 4 0 0 0 0
120 5 4 4 1 0 0 0
121 0 3 6 0 0 0 0
122 0 2 5 0 0 0 0
122 1 3 3 0 0 0 0
122 2 3 3 0 1 0 0
122 3 4 4 0 0 0 0
122 4 4 4 1 0 0 0
122 5 5 2 0 0 0 0
123 0 2 5 0 0 0 0
123 1 3 6 0 0 0 0
123 2 3 6 0 1 0 0
123 3 4 4 0 0 0 0
123 4 4 4 1 0 0 0
123 5 5 5 0 0 0 0
124 0 3 3 0 0 0 0
124 1 5 2 0 0 0 0
125 0 2 5 0 0 0 0
125 1 3 3 0 0 0 0
125 2 3 6 0 0 0 0
125 3 4 4 0 0 0 0
125 4 4 4 0 1 0 0
125 5 4 4 1 0 0 0
125 6 4 4 1 1 0 0
125 7 5 2 0 0 0 0
125 8 5 5 0 0 0 0
125 9 6 3 0 0 0 0
126 0 3 6 0 0 0 0
126 1 5 5 0 0 0 0
127 0 3 3 0 0 0 0
127 1 4 4 0 0 0 0
127 2 4 4 1 0 0 0
127 3 5 2 0 0 0 0
127 4 5 2 0 1 0 0
127 5 6 3 0 0 0 0
128 0 3 6 0 0 0 0
128 1 4 4 0 0 0 0
128 2 4 4 1 0 0 0
128 3 5 5 0 0 0 0
128 4 5 5 0 1 0 0
128 5 6 3 0 0 0 0
129 0 5 2 0 0 0 0
130 0 4 4 0 0 0 0
130 1 4 4 1 0 0 0
130 2 5 2 0 0 0 0
130 3 5 5 0 0 0 0
130 4 6 3 0 0 0 0
130 5 6 3 0 1 0 0
131 0 5 5 0 0 0 0
132 0 5 2 0 0 0 0
132 1 6 3 0 0 0 0
133 0 5 5 0 0 0 0
133 1 6 3 0 0 0 0
134 0 6 3 0 0 0 0
135 0 3 3 0 0 0 0
136 0 3 3 0 0 0 0
136 1 4 1 0 0 0 0
137 0 3 3 0 0 0 0
137 1 4 4 0 0 0 0
138 0 4 1 0 0 0 0
139 0 3 3 0 0 0 0
139 1 3 3 0 1 0 0
139 2 4 1 0 0 0 0
139 3 4 4 0 0 0 0
139 4 5 2 0 0 0 0
139 5 5 2 1 0 0 0
140 0 4 4 0 0 0 0
141 0 3 3 0 0 0 0
141 1 4 1 0 0 0 0
141 2 4 1 0 1 0 0
141 3 5 2 0 0 0 0
141 4 5 2 1 0 0 0
141 5 6 0 0 0 0 0
142 0 3 3 0 0 0 0
142 1 4 4 0 0 0 0
142 2 4 4 0 1 0 0
142 3 5 2 0 0 0 0
142 4 5 2 1 0 0 0
142 5 6 3 0 0 0 0
143 0 3 3 0 0 0 0
143 1 4 1 0 0 0 0
